code,iata,icao,lat,lon,name,city,region,country,continent
FAT,FAT,KFAT,36.776194,-119.71814,Fresno Yosemite International Airport,Fresno,California,United States,North America
OAK,OAK,KOAK,37.721278,-122.220722,Oakland International Airport,Oakland,California,United States,North America
SJC,SJC,KSJC,37.3626,-121.929022,San Jose International Airport,San Jose,California,United States,North America
ANC,ANC,PANC,61.174361,-149.996361,Ted Stevens Anchorage International Airport,Anchorage,Alaska,United States,North America
COS,COS,KCOS,38.805805,-104.700778,Colorado Springs Airport,Colorado,Colorado,United States,North America
MSP,MSP,KMSP,44.881956,-93.221767,Minneapolis-Saint Paul International Airport,Minneapolis,Minnesota,United States,North America
MQT,MQT,KMQT,46.353611,-87.395278,Sawyer International Airport,Marquette,Michigan,United States,North America
MKE,MKE,KMKE,42.947222,-87.896583,General Mitchell International Airport,Milwaukee,Wisconsin,United States,North America
PMC,PMC,SCTE,-41.438886,-73.093953,El Tepual Airport,Puerto Montt,Los Lagos,Chile,South America
PUQ,PUQ,SCCI,-53.002642,-70.854586,Presidente Carlos Ibanez del Campo International Airport,Punta Arenas,Magallanes,Chile,South America
MPN,MPN,EGYP,-51.822777,-58.447222,RAF Mount Pleasant,Mount Pleasant,Falkland Islands,Falkland Islands,South America
PSY,PSY,SFAL,-51.685672,-57.777644,Port Stanley Airport,Stanley,Falkland Islands,Falkland Islands,South America
sli,,,-52.428215,-59.077744,Sea Lion Island Airstrip,Sea Lion Island,Falkland Islands,Falkland Islands,South America
lli,,,-51.995701,-58.461221,Lively Island Airstrip,Lively Island,Falkland Islands,Falkland Islands,South America
pbi,,,-51.307051,-59.607236,Pebble Island Airstrip,Pebble Island,Falkland Islands,Falkland Islands,South America
FFA,FFA,KFFA,36.018333,-75.671389,First Flight Airport,Kitty Hawk,North Carolina,United States,North America
DAL,DAL,KDAL,32.847222,-96.851667,Dallas Love Field,Dallas,Texas,United States,North America
MLI,MLI,KMLI,41.448611,-90.5075,Quad City International Airport,Moline,Illinois,United States,North America
ABQ,ABQ,KABQ,35.039333,-106.610778,Albuquerque International Sunport,Albuquerque,New Mexico,United States,North America
SAF,SAF,KSAF,35.617222,-106.089444,Santa Fe Municipal Airport,Santa Fe,New Mexico,United States,North America
OKC,OKC,KOKC,35.393056,-97.600833,Will Rogers World Airport,Oklahoma City,Oklahoma,United States,North America
SYD,SYD,YSSY,-33.946111,151.177222,Sydney Airport,Sydney,New South Wales,Australia,Australia
AKL,AKL,NZAA,-37.008056,174.791667,Auckland Airport,Auckland,Auckland,New Zealand,Polynesia
CHC,CHC,NZCH,-43.489444,172.532222,Christchurch International Airport,Christchurch,Canterbury,New Zealand,Polynesia
BRO,BRO,KBRO,25.906944,-97.425833,Brownsville/South Padre Island International Airport,Brownsville,Texas,United States,North America
CRP,CRP,KCRP,27.770278,-97.501111,Corpus Christi International Airport,Corpus Christi,Texas,United States,North America
GVA,GVA,LSGG,46.238333,6.109444,Geneve Aeroport,Geneva,Geneva,Switzerland,Europe
ONT,ONT,KONT,34.056111,-117.601111,Ontario International Airport,Ontario,California,United States,North America
ABI,ABI,KABI,32.411115,-99.681667,Abilene Regional Airport,Abilene,Texas,United States,North America
BRU,BRU,EBBR,50.901389,4.484444,Brussels Airport,Brussels,Flemish Brabant,Belgium,Europe
DUS,DUS,EDDL,51.289444,6.766667,Dusseldorf Airport,Dusseldorf,North Rhine-Westphalia,Germany,Europe
EDI,EDI,EGPH,55.95,-3.3725,Edinburgh Airport,Edinburgh,Edinburgh,Scotland,Europe
KOI,KOI,EGPA,58.958056,-2.900556,Kirkwall Airport,Kirkwall,Orkney,Scotland,Europe
PPW,PPW,EGEP,59.351667,-2.900278,Papa Westray Airport,Papa Westray,Orkney,Scotland,Europe
WRY,WRY,EGEW,59.350278,-2.95,Westray Airport,Aikerness,Orkney,Scotland,Europe
INV,INV,EGPE,57.5425,-4.0475,Inverness Airport,Inverness,Highland,Scotland,Europe
SHV,SHV,KSHV,32.446667,-93.825556,Shreveport Regional Airport,Shreveport,Louisiana,United States,North America
LIT,LIT,KLIT,34.729444,-92.224722,Clinton National Airport,Little Rock,Arkansas,United States,North America
CLL,CLL,KCLL,30.588611,-96.363889,Easterwood Airport,College Station,Texas,United States,North America
MHK,MHK,KMHK,39.141111,-96.671667,Manhattan Regional Airport,Manhattan,Kansas,United States,North America
CLT,CLT,KCLT,35.213889,-80.943056,Charlotte Douglas International Airport,Charlotte,North Carolina,United States,North America
ARN,ARN,ESSA,59.651944,17.918611,Arlanda Airport,Stockholm,Sigtuna,Sweden,Europe
BMA,BMA,ESSB,59.354444,17.939722,Bromma Airport,Stockholm,Stockholm,Sweden,Europe
MMX,MMX,ESMS,55.53,13.371389,Malmo Airport,Malmo,Svedala,Sweden,Europe
CPH,CPH,EKCH,55.618056,12.656111,Copenhagen Airport,Copenhagen,Kastrup,Denmark,Europe
MCI,MCI,KMCI,39.2975,-94.713889,Kansas City International Airport,Kansas City,Missouri,United States,North America
ELM,ELM,KELM,42.16,-76.891667,Elmira/Corning Regional Airport,Horseheads,New York,United States,North America
ITH,ITH,KITH,42.491389,-76.458611,Ithaca Tompkins Regional Airport,Ithaca,New York,United States,North America
AUH,AUH,OMAA,24.433056,54.651111,Abu Dhabi International Airport,Abu Dhabi,Abu Dhabi,United Arab Emirates,Asia
HKG,HKG,VHHH,22.308889,113.914444,Hong Kong International Airport,Hong Kong,Hong Kong,Hong Kong,Asia
CAN,CAN,ZGGG,23.3925,113.298889,Guangzhou Baiyun International Airport,Guangzhou,Guangdong,China,Asia
SHA,SHA,ZSSS,31.198056,121.336389,Shanghai Hongqiao International Airport,Shanghai,Shanghai,China,Asia
PVG,PVG,ZSPD,31.143333,121.805278,Shanghai Pudong International Airport,Shanghai,Shanghai,China,Asia
AMS,AMS,EHAM,52.308056,4.764167,Amsterdam Airport Schiphol,Amsterdam,North Holland,Netherlands,Europe
BWI,BWI,KBWI,39.175278,-76.668333,Baltimore-Washington International Airport,Baltimore,Maryland,United States,North America
IPT,IPT,KIPT,41.241667,-76.921667,Williamsport Regional Airport,Williamsport,Pennsylvania,United States,North America
ROA,ROA,KROA,37.325556,-79.975556,Roanoke-Blacksburg Regional Airport,Roanoke,Virginia,United States,North America
HAM,HAM,EDDH,53.630278,9.991111,Hamburg Airport,Hamburg,Hamburg,Germany,Europe
DRO,DRO,KDRI,37.151389,-107.753889,Durango-La Plata County Airport,Durango,Colorado,United States,North America
DAY,DAY,KDAY,39.902222,-84.219444,Dayton International Airport,Dayton,Ohio,United States,North America
HPN,HPN,KHPN,41.066944,-73.7075,Westchester County Airport,White Plains,New York,United States,North America
PIT,PIT,KPIT,40.491389,-80.232778,Pittsburgh International Airport,Pittsburgh,Pennsylvania,United States,North America
GRK,GRK,KGRK,31.067222,-97.828889,Killeen-Fort Hood Regional Airport,Killeen,Texas,United States,North America
FSM,FSM,KFSM,35.336667,-94.3675,Fort Smith Regional Airport,Fort Smith,Arkansas,United States,North America
VIE,VIE,LOWW,48.110278,16.569722,Vienna International Airport,Vienna,Lower Austria,Austria,Europe
BUD,BUD,LHBP,47.439444,19.261944,Budapest Franz Liszt International Airport,Budapest,Central Hungary,Hungary,Europe
ACT,ACT,KACT,31.611389,-97.230556,Waco Regional Airport,Waco,Texas,United States,North America
GRR,GRR,KGRR,42.880833,-85.522778,Gerald R. Ford International Airport,Grand Rapids,Michigan,United States,North America
PVD,PVD,KPVD,41.723889,-71.428333,T.F. Green Airport,Providence,Rhode Island,United States,North America
MVY,MVY,KMVY,41.393056,-70.614444,Martha's Vineyard Airport,Vineyard Haven,Massachusetts,United States,North America
HVN,HVN,KHVN,41.263889,-72.886667,Tweed New Haven Airport,New Haven,Connecticut,United States,North America
BLQ,BLQ,LIPE,44.535444,11.288667,Bologna Guglielmo Marconi Airport,Bologna,Emilia-Romagna,Italy,Europe
FLR,FLR,LIRQ,43.81,11.203889,Amerigo Vespucci Airport,Florence,Tuscany,Italy,Europe
PWM,PWM,KPWM,43.646111,-70.309167,Portland International Jetport,Portland,Maine,United States,North America
MSY,MSY,KMSY,29.993333,-90.258056,Louis Armstrong New Orleans International Airport,New Orleans,Louisiana,United States,North America
ACK,ACK,KACK,41.252889,-70.059,Nantucket Memorial Airport,Nantucket,Massachusetts,United States,North America
VCE,VCE,LIPZ,45.505278,12.351944,Venice Marco Polo Airport,Venice,Veneto,Italy,Europe
ICN,ICN,RKSI,37.463333,126.44,Incheon International Airport,Seoul,Seoul,South Korea,Asia
PEK,PEK,ZBAA,40.0725,116.5975,Beijing Capital International Airport,Beijing,Beijing,China,Asia
SBY,SBY,KSBY,38.34,-75.509444,Salisbury-Ocean City-Wicomico Regional Airport,Salisbury,Maryland,United States,North America
YUL,YUL,CYUL,45.470556,-73.740833,Montreal-Pierre Elliott Trudeau International Airport,Montreal,Quebec,Canada,North America
YTZ,YTZ,CYTZ,43.628333,-79.396111,Billy Bishop Toronto City Airport,Toronto,Ontario,Canada,North America
CXH,CXH,CYHC,49.294444,-123.111389,Vancouver Coal Harbour Seaplane Base,Vancouver,British Columbia,Canada,North America
ZNA,ZNA,,49.169167,-123.935278,Nanaimo Harbour Water Airport,Nanaimo,British Columbia,Canada,North America
YVR,YVR,CYVR,49.194722,-123.183889,Vancouver International Airport,Vancouver,British Columbia,Canada,North America
ALB,ALB,KALB,42.749167,-73.801944,Albany International Airport,Albany,New York,United States,North America
DTW,DTW,KDTW,42.2125,-83.3533333,Detroit Metropolitan Wayne County Airport,Detroit,Michigan,United States,North America
RNN,RNN,EKRN,55.063333,14.759444,Bornholm Airport,Ronne,Hovedstaden,Denmark,Europe
IOM,IOM,EGNS,54.083333,-4.623333,Ronaldsway Airport,Castletown,Malew,Isle of Man,Europe
ORH,ORH,KORH,42.267222,-71.875833,Worcester Regional Airport,Worcester,Massachusetts,United States,North America
RUT,RUT,KRUT,43.53,-72.949722,Southern Vermont Regional Airport,Rutland,Vermont,United States,North America
BGO,BGO,ENBR,60.293611,5.218056,Bergen Airport Flesland,Bergen,Hordaland,Norway,Europe
FAE,FAE,EKVG,62.063611,-7.277222,Vagar Airport,Sorvagur,Vagar,Faroe Islands,Europe
LIN,LIN,LIML,45.449444,9.278333,Linate Airport,Milan,Lombardy,Italy,Europe
